"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","5.0630","5.0615","5.0920","5.0020","52.63K","-0.76%"
"11/13/2025","5.1020","5.0925","5.1630","5.0365","49.07K","-0.07%"
"11/12/2025","5.1055","5.0635","5.1505","5.0250","56.92K","0.78%"
"11/11/2025","5.0660","5.0955","5.1045","5.0520","41.75K","-0.78%"
"11/10/2025","5.1060","4.9700","5.1200","4.9670","67.12K","3.01%"
"11/07/2025","4.9570","4.9735","5.0080","4.9515","43.08K","-0.21%"
"11/06/2025","4.9675","4.9930","5.0375","4.9525","37.76K","-0.37%"
"11/05/2025","4.9860","4.9280","5.0070","4.8880","39.27K","0.76%"
"11/04/2025","4.9485","5.0545","5.0660","4.9075","58.73K","-2.38%"
"11/03/2025","5.0690","5.1000","5.1295","5.0185","37.96K","-0.39%"
"10/31/2025","5.0890","5.1110","5.1285","5.0480","48.75K","-0.29%"
"10/30/2025","5.1040","5.2035","5.2335","5.0425","72.32K","-2.54%"
"10/29/2025","5.2370","5.1995","5.2445","5.1640","2.28K","1.79%"
"10/28/2025","5.1450","5.1295","5.1495","5.0660","0.76K","-0.02%"
"10/27/2025","5.1460","5.1450","5.1885","5.1225","1.94K","0.46%"
"10/24/2025","5.1225","5.0880","5.1515","5.0675","41.83K","0.23%"
"10/23/2025","5.1105","4.9925","5.1185","4.9785","45.66K","2.30%"
"10/22/2025","4.9955","4.9560","5.0160","4.9155","30.94K","0.59%"
"10/21/2025","4.9660","5.0500","5.0720","4.9145","42.03K","-1.39%"
"10/20/2025","5.0360","4.9885","5.0760","4.9710","33.17K","1.34%"
"10/17/2025","4.9695","4.9875","5.0245","4.8835","42.19K","-0.59%"
"10/16/2025","4.9990","4.9765","5.0165","4.9305","41.84K","-0.31%"
"10/15/2025","5.0145","5.0105","5.0825","4.9450","39.51K","-0.17%"
"10/14/2025","5.0230","5.1325","5.1780","4.9315","64.24K","-2.35%"
