Date;Price;Open;High;Low;Vol.;Change %;;Kolumna B: symbol → wpisz HG=F we wszystkich wierszach (przeciągnij w dół)
10/21/2025;47.681;48.13;48.65;46.82;113.83K;-0.05%;;
10/20/2025;47.704;51.37;51.615;47.12;158.67K;-4.79%;;
10/16/2025;50.104;53.425;53.765;49.66;182.73K;-5.99%;;
10/15/2025;53.296;52.59;53.615;51.195;145.09K;3.73%;;
10/14/2025;51.378;50.37;52.635;50.31;123.35K;1.49%;;
10/13/2025;50.622;50.755;52.495;48.75;181.88K;7.14%;;
10.09.2025;47.247;47.65;48.62;46.7;143.90K;0.19%;;
10.08.2025;47.157;48.45;49.965;46.89;190.55K;-3.75%;;
10.07.2025;48.994;47.665;49.195;47.53;99.32K;3.11%;;
10.06.2025;47.515;48.405;48.55;47.015;103.50K;0.76%;;
10.05.2025;47.157;48.06;49.965;46.7;537.27K;1.70%;;
10.02.2025;46.369;47.41;48.325;46.55;94.93K;-2.75%;;
10.01.2025;47.679;46.835;48.01;45.71;116.81K;2.23%;;
09/30/2025;46.64;47.135;47.975;46.815;96.86K;-0.80%;;
09/29/2025;47.016;46.42;47.39;45.96;101.72K;4.64%;;
09/25/2025;44.933;43.94;46.945;44.89;103.42K;2.07%;;
09/24/2025;44.02;44.15;45.5;44.06;100.81K;-0.94%;;
09/23/2025;44.437;44.115;44.625;43.885;61.23K;0.89%;;
09/22/2025;44.044;43.215;44.77;43.97;76.63K;4.57%;;
09/18/2025;42.118;42;43.405;41.93;75.30K;-0.08%;;
09/17/2025;42.152;42.875;42.25;41.495;58.34K;-1.78%;;
09/16/2025;42.917;43.2;42.94;41.48;90.89K;-0.10%;;
09/15/2025;42.962;42.725;43.435;42.615;64.81K;1.93%;;
09.11.2025;42.149;41.635;43.04;41.895;72.26K;1.32%;;
09.10.2025;41.6;41.34;42.33;41.33;60.28K;0.63%;;
09.09.2025;41.341;41.935;41.785;41.145;41.20K;-1.34%;;
09.08.2025;41.902;41.465;42.07;41.205;67.61K;1.17%;;
09.04.2025;41.417;41.81;42.1;41.16;69.58K;-1.53%;;
09.03.2025;42.06;41.725;41.83;41.065;67.31K;1.13%;;
09.02.2025;41.592;40.79;42.29;41.465;64.66K;2.29%;;
08/31/2025;40.662;40.757;41.995;40.555;126.51K;2.42%;;
08/28/2025;39.703;39.16;40.86;39.34;70.04K;1.66%;;
08/27/2025;39.056;39.035;39.86;39.155;56.61K;0.26%;;
08/26/2025;38.955;39.045;38.755;38.17;38.38K;-0.25%;;
08/25/2025;39.051;39.215;38.86;38.33;59.35K;2.55%;;
08/21/2025;38.079;37.89;39.09;37.675;72.11K;0.81%;;
08/20/2025;37.773;37.335;38.19;37.52;46.54K;1.18%;;
08/19/2025;37.332;38.075;37.915;36.96;53.94K;-1.83%;;
08/18/2025;38.029;38.04;38.2;37.24;50.87K;-0.11%;;
08/14/2025;38.069;38.58;38.12;37.725;34.91K;-1.38%;;
08/13/2025;38.602;37.935;38.78;37.86;54.76K;1.58%;;
08.12.2025;38.002;37.63;38.71;37.875;55.85K;0.57%;;
08.11.2025;37.787;38.54;38.09;37.515;67.39K;-1.32%;;
08.07.2025;38.294;37.935;38.875;38.18;79.67K;1.03%;;
08.06.2025;37.902;37.825;38.76;37.935;90.13K;0.21%;;
08.05.2025;37.823;37.445;38.02;37.62;41.79K;1.33%;;
08.04.2025;37.328;37.09;37.94;37.325;51.39K;1.68%;;
07/31/2025;36.712;37.16;37.24;36.4;66.42K;-2.72%;;
07/30/2025;37.739;38.4;37.285;36.28;68.24K;-0.95%;;
07/29/2025;38.101;38.145;38.42;36.805;72.76K;0.15%;;
07/28/2025;38.043;38.135;38.49;38.035;42.86K;-3.01%;;
07/24/2025;39.224;39.53;39.52;38.1;68.80K;-0.71%;;
07/23/2025;39.503;39.645;39.66;38.93;50.60K;-0.13%;;
07/22/2025;39.555;39.25;39.91;39.335;64.35K;0.56%;;
07/21/2025;39.334;38.42;39.72;39.025;58.28K;2.69%;;
07/17/2025;38.303;38.145;38.825;38.375;42.30K;0.48%;;
07/16/2025;38.119;37.985;38.46;37.685;44.73K;0.02%;;
07/15/2025;38.11;38.4;38.38;37.75;56.45K;-1.63%;;
07/14/2025;38.742;39.13;38.74;37.895;56.77K;3.85%;;
07.10.2025;37.305;36.6;39.225;37.51;101.61K;1.84%;;
07.09.2025;36.63;36.935;37.69;36.575;83.25K;-0.32%;;
07.08.2025;36.749;36.955;36.95;36.49;46.79K;-0.42%;;
07.07.2025;36.904;37.15;37.095;36.445;55.06K;-0.49%;;
07.03.2025;37.084;36.79;37.435;36.325;68.85K;0.97%;;
07.02.2025;36.727;36.245;37.315;36.57;55.65K;0.91%;;
07.01.2025;36.397;36.325;36.815;36.055;41.29K;0.62%;;
06/30/2025;36.172;36.15;36.875;36.055;54.05K;-1.59%;;
06/26/2025;36.757;36.395;36.975;35.95;67.93K;1.86%;;
06/25/2025;36.085;36.085;36.77;36.14;43.12K;1.08%;;
06/24/2025;35.701;35.83;36.275;35.63;48.36K;-1.25%;;
06/23/2025;36.153;36.16;36.165;35.195;76.74K;-2.06%;;
06/18/2025;36.913;37.205;36.82;35.515;95.42K;-0.64%;;
06/17/2025;37.151;36.37;37.405;36.54;60.67K;1.93%;;
06/16/2025;36.448;36.45;37.33;36.17;80.27K;0.42%;;
06.12.2025;36.295;36.36;36.77;36.04;58.85K;0.09%;;
06.11.2025;36.261;36.675;36.585;35.58;75.67K;-1.04%;;
06.10.2025;36.642;36.895;36.79;36.15;77.36K;-0.42%;;
